suicide_demographic_key,Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($)
127,Albania,2002,female,35-54 years,15,375113,4,"4,435,078,648",1573
128,Albania,2002,female,25-34 years,7,223685,3.13,"4,435,078,648",1573
129,Albania,2002,female,75+ years,1,47407,2.11,"4,435,078,648",1573
130,Albania,2002,female,55-74 years,4,191712,2.09,"4,435,078,648",1573
131,Albania,2002,female,5-14 years,1,304850,0.33,"4,435,078,648",1573
132,Albania,2002,male,5-14 years,1,319473,0.31,"4,435,078,648",1573
133,Albania,2003,female,75+ years,6,49088,12.22,"5,746,945,913",2021
134,Albania,2003,male,55-74 years,16,201520,7.94,"5,746,945,913",2021
135,Albania,2003,male,35-54 years,28,386196,7.25,"5,746,945,913",2021
136,Albania,2003,male,15-24 years,15,273235,5.49,"5,746,945,913",2021
137,Albania,2003,female,15-24 years,14,283709,4.93,"5,746,945,913",2021
138,Albania,2003,female,55-74 years,9,195699,4.6,"5,746,945,913",2021
139,Albania,2003,male,25-34 years,9,205433,4.38,"5,746,945,913",2021
140,Albania,2003,female,25-34 years,9,222941,4.04,"5,746,945,913",2021
141,Albania,2003,female,35-54 years,13,381760,3.41,"5,746,945,913",2021
142,Albania,2003,male,75+ years,1,32667,3.06,"5,746,945,913",2021
143,Albania,2003,male,5-14 years,4,313204,1.28,"5,746,945,913",2021
144,Albania,2003,female,5-14 years,0,298477,0,"5,746,945,913",2021
145,Albania,2004,male,75+ years,4,35526,11.26,"7,314,865,176",2544
146,Albania,2004,male,35-54 years,39,391767,9.95,"7,314,865,176",2544
147,Albania,2004,male,25-34 years,16,203938,7.85,"7,314,865,176",2544
148,Albania,2004,female,15-24 years,20,292268,6.84,"7,314,865,176",2544
149,Albania,2004,male,15-24 years,19,286768,6.63,"7,314,865,176",2544
150,Albania,2004,female,75+ years,3,50970,5.89,"7,314,865,176",2544
151,Albania,2004,female,25-34 years,11,222389,4.95,"7,314,865,176",2544
152,Albania,2004,male,55-74 years,10,207202,4.83,"7,314,865,176",2544
153,Albania,2004,female,35-54 years,17,391436,4.34,"7,314,865,176",2544
154,Albania,2004,female,55-74 years,3,203841,1.47,"7,314,865,176",2544
155,Albania,2004,female,5-14 years,3,286705,1.05,"7,314,865,176",2544
156,Albania,2004,male,5-14 years,1,302181,0.33,"7,314,865,176",2544
157,Albania,2005,female,15-24 years,0,281922,0,"8,158,548,717",2931
158,Albania,2005,female,25-34 years,0,190745,0,"8,158,548,717",2931
159,Albania,2005,female,35-54 years,0,386513,0,"8,158,548,717",2931
160,Albania,2005,female,5-14 years,0,276559,0,"8,158,548,717",2931
161,Albania,2005,female,55-74 years,0,210998,0,"8,158,548,717",2931
162,Albania,2005,female,75+ years,0,53191,0,"8,158,548,717",2931
163,Albania,2005,male,15-24 years,0,281675,0,"8,158,548,717",2931
164,Albania,2005,male,25-34 years,0,177519,0,"8,158,548,717",2931
165,Albania,2005,male,35-54 years,0,380242,0,"8,158,548,717",2931
166,Albania,2005,male,5-14 years,0,291367,0,"8,158,548,717",2931
167,Albania,2005,male,55-74 years,0,214118,0,"8,158,548,717",2931
168,Albania,2005,male,75+ years,0,38471,0,"8,158,548,717",2931
169,Albania,2006,female,15-24 years,0,283138,0,"8,992,642,349",3235
170,Albania,2006,female,25-34 years,0,186391,0,"8,992,642,349",3235
171,Albania,2006,female,35-54 years,0,388746,0,"8,992,642,349",3235
172,Albania,2006,female,5-14 years,0,267316,0,"8,992,642,349",3235
173,Albania,2006,female,55-74 years,0,215907,0,"8,992,642,349",3235
174,Albania,2006,female,75+ years,0,56011,0,"8,992,642,349",3235
175,Albania,2006,male,15-24 years,0,286679,0,"8,992,642,349",3235
176,Albania,2006,male,25-34 years,0,174092,0,"8,992,642,349",3235
177,Albania,2006,male,35-54 years,0,379076,0,"8,992,642,349",3235
178,Albania,2006,male,5-14 years,0,282678,0,"8,992,642,349",3235
179,Albania,2006,male,55-74 years,0,219360,0,"8,992,642,349",3235
180,Albania,2006,male,75+ years,0,40782,0,"8,992,642,349",3235
181,Albania,2007,male,75+ years,8,42366,18.88,"10,701,011,897",3863
182,Albania,2007,male,35-54 years,29,378626,7.66,"10,701,011,897",3863
183,Albania,2007,male,55-74 years,14,224160,6.25,"10,701,011,897",3863
184,Albania,2007,female,75+ years,3,57404,5.23,"10,701,011,897",3863
185,Albania,2007,male,25-34 years,9,172494,5.22,"10,701,011,897",3863
186,Albania,2007,female,15-24 years,13,281080,4.63,"10,701,011,897",3863
187,Albania,2007,male,15-24 years,13,288349,4.51,"10,701,011,897",3863
188,Albania,2007,female,25-34 years,8,183629,4.36,"10,701,011,897",3863
189,Albania,2007,female,55-74 years,9,221120,4.07,"10,701,011,897",3863
190,Albania,2007,female,35-54 years,14,391811,3.57,"10,701,011,897",3863
191,Albania,2007,male,5-14 years,4,272497,1.47,"10,701,011,897",3863
192,Albania,2007,female,5-14 years,0,256808,0,"10,701,011,897",3863
193,Albania,2008,male,25-34 years,21,172855,12.15,"12,881,352,688",4672
194,Albania,2008,male,35-54 years,37,377119,9.81,"12,881,352,688",4672
195,Albania,2008,male,55-74 years,21,228672,9.18,"12,881,352,688",4672
196,Albania,2008,female,75+ years,5,59369,8.42,"12,881,352,688",4672
197,Albania,2008,female,15-24 years,20,276073,7.24,"12,881,352,688",4672
198,Albania,2008,female,25-34 years,9,182663,4.93,"12,881,352,688",4672
199,Albania,2008,female,35-54 years,19,393832,4.82,"12,881,352,688",4672
200,Albania,2008,male,75+ years,2,44574,4.49,"12,881,352,688",4672
201,Albania,2008,male,15-24 years,11,286702,3.84,"12,881,352,688",4672
202,Albania,2008,female,55-74 years,7,226448,3.09,"12,881,352,688",4672
203,Albania,2008,male,5-14 years,7,262464,2.67,"12,881,352,688",4672
204,Albania,2008,female,5-14 years,1,246288,0.41,"12,881,352,688",4672
205,Albania,2009,female,15-24 years,0,270003,0,"12,044,212,904",4387
206,Albania,2009,female,25-34 years,0,182712,0,"12,044,212,904",4387
207,Albania,2009,female,35-54 years,0,394286,0,"12,044,212,904",4387
208,Albania,2009,female,5-14 years,0,236174,0,"12,044,212,904",4387
209,Albania,2009,female,55-74 years,0,233302,0,"12,044,212,904",4387
210,Albania,2009,female,75+ years,0,61582,0,"12,044,212,904",4387
211,Albania,2009,male,15-24 years,0,283448,0,"12,044,212,904",4387
212,Albania,2009,male,25-34 years,0,174955,0,"12,044,212,904",4387
213,Albania,2009,male,35-54 years,0,374365,0,"12,044,212,904",4387
214,Albania,2009,male,5-14 years,0,253007,0,"12,044,212,904",4387
215,Albania,2009,male,55-74 years,0,234570,0,"12,044,212,904",4387
216,Albania,2009,male,75+ years,0,47331,0,"12,044,212,904",4387
217,Albania,2010,male,55-74 years,20,241852,8.27,"11,926,953,259",4359
218,Albania,2010,male,35-54 years,20,371611,5.38,"11,926,953,259",4359
219,Albania,2010,male,25-34 years,9,179720,5.01,"11,926,953,259",4359
220,Albania,2010,male,75+ years,2,50767,3.94,"11,926,953,259",4359
221,Albania,2010,male,15-24 years,10,279508,3.58,"11,926,953,259",4359
222,Albania,2010,female,25-34 years,6,183579,3.27,"11,926,953,259",4359
223,Albania,2010,female,75+ years,2,64415,3.1,"11,926,953,259",4359
224,Albania,2010,female,35-54 years,12,394593,3.04,"11,926,953,259",4359
225,Albania,2010,female,55-74 years,7,241491,2.9,"11,926,953,259",4359
226,Albania,2010,female,15-24 years,6,263581,2.28,"11,926,953,259",4359
227,Albania,2010,female,5-14 years,2,223969,0.89,"11,926,953,259",4359
228,Albania,2010,male,5-14 years,0,240939,0,"11,926,953,259",4359
229,Argentina,1991,male,75+ years,184,396000,46.46,"189,719,984,268",6404
230,Argentina,1991,male,55-74 years,449,2130000,21.08,"189,719,984,268",6404
231,Argentina,1991,male,35-54 years,398,3580000,11.12,"189,719,984,268",6404
232,Argentina,1991,male,25-34 years,214,2277000,9.4,"189,719,984,268",6404
233,Argentina,1991,female,75+ years,50,658000,7.6,"189,719,984,268",6404
234,Argentina,1991,female,55-74 years,169,2508000,6.74,"189,719,984,268",6404
235,Argentina,1991,male,15-24 years,179,2738000,6.54,"189,719,984,268",6404
236,Argentina,1991,female,35-54 years,133,3691000,3.6,"189,719,984,268",6404
237,Argentina,1991,female,25-34 years,77,2310000,3.33,"189,719,984,268",6404
238,Argentina,1991,female,15-24 years,61,2689000,2.27,"189,719,984,268",6404
239,Argentina,1991,male,5-14 years,28,3369000,0.83,"189,719,984,268",6404
240,Argentina,1991,female,5-14 years,9,3277000,0.27,"189,719,984,268",6404
241,Argentina,1992,male,75+ years,194,404900,47.91,"228,788,617,202",7615
242,Argentina,1992,male,55-74 years,500,2150500,23.25,"228,788,617,202",7615
243,Argentina,1992,male,35-54 years,488,3616600,13.49,"228,788,617,202",7615
244,Argentina,1992,male,25-34 years,227,2306200,9.84,"228,788,617,202",7615
245,Argentina,1992,male,15-24 years,249,2834100,8.79,"228,788,617,202",7615
246,Argentina,1992,female,75+ years,46,678000,6.78,"228,788,617,202",7615
247,Argentina,1992,female,55-74 years,147,2538400,5.79,"228,788,617,202",7615
248,Argentina,1992,female,35-54 years,140,3755500,3.73,"228,788,617,202",7615
249,Argentina,1992,female,25-34 years,79,2329100,3.39,"228,788,617,202",7615
250,Argentina,1992,female,15-24 years,79,2783500,2.84,"228,788,617,202",7615
251,Argentina,1992,male,5-14 years,22,3371800,0.65,"228,788,617,202",7615
252,Argentina,1992,female,5-14 years,13,3276800,0.4,"228,788,617,202",7615
253,Argentina,1993,male,75+ years,229,413600,55.37,"236,741,715,015",7768
254,Argentina,1993,male,55-74 years,520,2171500,23.95,"236,741,715,015",7768
255,Argentina,1993,male,35-54 years,495,3672300,13.48,"236,741,715,015",7768
256,Argentina,1993,male,25-34 years,233,2336300,9.97,"236,741,715,015",7768
257,Argentina,1993,female,75+ years,58,698400,8.3,"236,741,715,015",7768
258,Argentina,1993,male,15-24 years,235,2932300,8.01,"236,741,715,015",7768
259,Argentina,1993,female,55-74 years,126,2568300,4.91,"236,741,715,015",7768
260,Argentina,1993,female,35-54 years,144,3820400,3.77,"236,741,715,015",7768
261,Argentina,1993,female,25-34 years,76,2347800,3.24,"236,741,715,015",7768
262,Argentina,1993,female,15-24 years,73,2879300,2.54,"236,741,715,015",7768
263,Argentina,1993,male,5-14 years,25,3367500,0.74,"236,741,715,015",7768
264,Argentina,1993,female,5-14 years,16,3269800,0.49,"236,741,715,015",7768
265,Argentina,1994,male,75+ years,192,423100,45.38,"257,440,000,000",8328
266,Argentina,1994,male,55-74 years,509,2192500,23.22,"257,440,000,000",8328
267,Argentina,1994,male,35-54 years,527,3729600,14.13,"257,440,000,000",8328
268,Argentina,1994,male,25-34 years,226,2369000,9.54,"257,440,000,000",8328
269,Argentina,1994,male,15-24 years,250,3027200,8.26,"257,440,000,000",8328
270,Argentina,1994,female,55-74 years,135,2597400,5.2,"257,440,000,000",8328
271,Argentina,1994,female,75+ years,34,719700,4.72,"257,440,000,000",8328
272,Argentina,1994,female,35-54 years,160,3885600,4.12,"257,440,000,000",8328
273,Argentina,1994,female,15-24 years,98,2971300,3.3,"257,440,000,000",8328
274,Argentina,1994,female,25-34 years,72,2369900,3.04,"257,440,000,000",8328
275,Argentina,1994,male,5-14 years,27,3363000,0.8,"257,440,000,000",8328
276,Argentina,1994,female,5-14 years,11,3262900,0.34,"257,440,000,000",8328
277,Argentina,1995,male,75+ years,190,433800,43.8,"258,031,750,000",8232
278,Argentina,1995,male,55-74 years,515,2214000,23.26,"258,031,750,000",8232
279,Argentina,1995,male,35-54 years,485,3787800,12.8,"258,031,750,000",8232
280,Argentina,1995,male,25-34 years,218,2404900,9.06,"258,031,750,000",8232
281,Argentina,1995,male,15-24 years,277,3112100,8.9,"258,031,750,000",8232
282,Argentina,1995,female,75+ years,49,742200,6.6,"258,031,750,000",8232
283,Argentina,1995,female,55-74 years,134,2625900,5.1,"258,031,750,000",8232
284,Argentina,1995,female,35-54 years,139,3950100,3.52,"258,031,750,000",8232
285,Argentina,1995,female,15-24 years,101,3053300,3.31,"258,031,750,000",8232
286,Argentina,1995,female,25-34 years,62,2396900,2.59,"258,031,750,000",8232
287,Argentina,1995,female,5-14 years,19,3261100,0.58,"258,031,750,000",8232
288,Argentina,1995,male,5-14 years,15,3363300,0.45,"258,031,750,000",8232
289,Argentina,1996,male,75+ years,189,445800,42.4,"272,149,750,000",8563
290,Argentina,1996,male,55-74 years,464,2235900,20.75,"272,149,750,000",8563
291,Argentina,1996,male,35-54 years,524,3847300,13.62,"272,149,750,000",8563
292,Argentina,1996,male,25-34 years,226,2442900,9.25,"272,149,750,000",8563
293,Argentina,1996,male,15-24 years,280,3185600,8.79,"272,149,750,000",8563
294,Argentina,1996,female,75+ years,59,766100,7.7,"272,149,750,000",8563
295,Argentina,1996,female,55-74 years,131,2653800,4.94,"272,149,750,000",8563
296,Argentina,1996,female,35-54 years,176,4014100,4.38,"272,149,750,000",8563
297,Argentina,1996,female,15-24 years,105,3123600,3.36,"272,149,750,000",8563
298,Argentina,1996,female,25-34 years,52,2428400,2.14,"272,149,750,000",8563
299,Argentina,1996,male,5-14 years,14,3370400,0.42,"272,149,750,000",8563
300,Argentina,1996,female,5-14 years,9,3266800,0.28,"272,149,750,000",8563
301,Argentina,1997,male,75+ years,195,490152,39.78,"292,859,000,000",9057
302,Argentina,1997,male,55-74 years,457,2252148,20.29,"292,859,000,000",9057
303,Argentina,1997,male,35-54 years,501,3934581,12.73,"292,859,000,000",9057
304,Argentina,1997,male,25-34 years,213,2460112,8.66,"292,859,000,000",9057
305,Argentina,1997,male,15-24 years,260,3198193,8.13,"292,859,000,000",9057
306,Argentina,1997,female,75+ years,47,854095,5.5,"292,859,000,000",9057
307,Argentina,1997,female,55-74 years,131,2668528,4.91,"292,859,000,000",9057
308,Argentina,1997,female,35-54 years,165,4083427,4.04,"292,859,000,000",9057
309,Argentina,1997,female,15-24 years,113,3161000,3.57,"292,859,000,000",9057
310,Argentina,1997,female,25-34 years,72,2474330,2.91,"292,859,000,000",9057
311,Argentina,1997,male,5-14 years,19,3429860,0.55,"292,859,000,000",9057
312,Argentina,1997,female,5-14 years,11,3327355,0.33,"292,859,000,000",9057
313,Argentina,1998,male,75+ years,201,504164,39.87,"298,948,250,000",9126
314,Argentina,1998,male,55-74 years,518,2274972,22.77,"298,948,250,000",9126
315,Argentina,1998,male,35-54 years,508,3990829,12.73,"298,948,250,000",9126
316,Argentina,1998,male,15-24 years,327,3243944,10.08,"298,948,250,000",9126
317,Argentina,1998,male,25-34 years,251,2497189,10.05,"298,948,250,000",9126
318,Argentina,1998,female,75+ years,53,883724,6,"298,948,250,000",9126
319,Argentina,1998,female,55-74 years,140,2696429,5.19,"298,948,250,000",9126
320,Argentina,1998,female,15-24 years,114,3200362,3.56,"298,948,250,000",9126
321,Argentina,1998,female,35-54 years,147,4143203,3.55,"298,948,250,000",9126
322,Argentina,1998,female,25-34 years,52,2512005,2.07,"298,948,250,000",9126
323,Argentina,1998,female,5-14 years,20,3353473,0.6,"298,948,250,000",9126
324,Argentina,1998,male,5-14 years,16,3456965,0.46,"298,948,250,000",9126
325,Argentina,1999,male,75+ years,204,515800,39.55,"283,523,000,000",8546
326,Argentina,1999,male,55-74 years,540,2301840,23.46,"283,523,000,000",8546
327,Argentina,1999,male,35-54 years,545,4045105,13.47,"283,523,000,000",8546
328,Argentina,1999,male,15-24 years,355,3279728,10.82,"283,523,000,000",8546
329,Argentina,1999,male,25-34 years,265,2543861,10.42,"283,523,000,000",8546
330,Argentina,1999,female,55-74 years,137,2727054,5.02,"283,523,000,000",8546
331,Argentina,1999,female,75+ years,44,912898,4.82,"283,523,000,000",8546
332,Argentina,1999,female,35-54 years,141,4200203,3.36,"283,523,000,000",8546
333,Argentina,1999,female,15-24 years,101,3229424,3.13,"283,523,000,000",8546
334,Argentina,1999,female,25-34 years,50,2559176,1.95,"283,523,000,000",8546
335,Argentina,1999,male,5-14 years,21,3482230,0.6,"283,523,000,000",8546
336,Argentina,1999,female,5-14 years,20,3377543,0.59,"283,523,000,000",8546
337,Argentina,2000,male,75+ years,232,525161,44.18,"284,203,750,000",8462
338,Argentina,2000,male,55-74 years,602,2333377,25.8,"284,203,750,000",8462
339,Argentina,2000,male,35-54 years,578,4096814,14.11,"284,203,750,000",8462
340,Argentina,2000,male,15-24 years,463,3306109,14,"284,203,750,000",8462
341,Argentina,2000,male,25-34 years,331,2602314,12.72,"284,203,750,000",8462
342,Argentina,2000,female,55-74 years,133,2760512,4.82,"284,203,750,000",8462
343,Argentina,2000,female,75+ years,43,941957,4.56,"284,203,750,000",8462
344,Argentina,2000,female,35-54 years,174,4253771,4.09,"284,203,750,000",8462
345,Argentina,2000,female,15-24 years,116,3249247,3.57,"284,203,750,000",8462
346,Argentina,2000,female,25-34 years,63,2617723,2.41,"284,203,750,000",8462
347,Argentina,2000,female,5-14 years,21,3396135,0.62,"284,203,750,000",8462
348,Argentina,2000,male,5-14 years,18,3502413,0.51,"284,203,750,000",8462
349,Argentina,2001,male,75+ years,250,547473,45.66,"268,696,750,000",7900
350,Argentina,2001,male,55-74 years,659,2358654,27.94,"268,696,750,000",7900
351,Argentina,2001,male,15-24 years,518,3325440,15.58,"268,696,750,000",7900
352,Argentina,2001,male,35-54 years,625,4145861,15.08,"268,696,750,000",7900
353,Argentina,2001,male,25-34 years,375,2675285,14.02,"268,696,750,000",7900
354,Argentina,2001,female,75+ years,57,978346,5.83,"268,696,750,000",7900
355,Argentina,2001,female,15-24 years,166,3262682,5.09,"268,696,750,000",7900
356,Argentina,2001,female,55-74 years,137,2788628,4.91,"268,696,750,000",7900
357,Argentina,2001,female,35-54 years,210,4306817,4.88,"268,696,750,000",7900
358,Argentina,2001,female,25-34 years,82,2690206,3.05,"268,696,750,000",7900
359,Argentina,2001,male,5-14 years,29,3519935,0.82,"268,696,750,000",7900
360,Argentina,2001,female,5-14 years,24,3411619,0.7,"268,696,750,000",7900
361,Argentina,2002,male,75+ years,234,566447,41.31,"97,724,004,252",2840
362,Argentina,2002,male,55-74 years,615,2387478,25.76,"97,724,004,252",2840
363,Argentina,2002,male,15-24 years,542,3331708,16.27,"97,724,004,252",2840
364,Argentina,2002,male,25-34 years,412,2758283,14.94,"97,724,004,252",2840
365,Argentina,2002,male,35-54 years,619,4191889,14.77,"97,724,004,252",2840
